BookID,Title,Author,Genre,PublishedYear,TotalCopies,AvailableCopies
1,Gas too left eight,Linda Reynolds,Mystery,1976,2,2
2,Surface process,Brian Keller,Biography,1982,4,4
3,Can second improve,George Anderson,Biography,2008,8,8
4,Scene member,Kathryn Johnson,Science,1983,8,8
5,Service risk father,Thomas Gardner,Mystery,1975,10,10
6,Service speak,Laura Barnes,Science,2017,10,10
7,Cup so,Joseph Chambers,Science,1999,1,1
8,Everything,Brittany Kennedy,Romance,2020,1,1
9,Talk market special,Terry Lopez,Romance,1999,3,3
10,Kid song hand,Gina Castillo,Biography,2007,8,8
11,Future material,Thomas Sanchez,Biography,1960,6,6
12,Senior small teach,Leah Scott,Fantasy,1993,8,8
13,Another near big,Alexander Smith,Romance,2002,9,9
14,Reveal,Donna Gonzalez,Fantasy,1950,2,2
15,North per,Michael Russell,Fantasy,1965,10,10
16,Save member pick,Aaron Avila,Fantasy,2021,10,10
17,Serve,Mitchell Brown,Fantasy,2014,1,1
18,Opportunity stand,Jose Ball,Science,1975,7,7
19,Point garden performance,Rick Cook,Fiction,1968,10,10
20,Authority various,James Black,Biography,1958,8,8
21,None others three,Christopher Rodriguez,Self-help,1957,8,8
22,Area compare improve,April Garcia,Romance,1984,2,2
23,Indeed activity serve,Adam Walter,Fantasy,1988,6,6
24,Pick clear,Karen Greer,Fiction,2017,1,1
25,Avoid floor,Michael Wilson,Science,1990,6,6
26,Give,Cynthia Allen,History,2025,1,1
27,Sure,James Baker,Mystery,1990,5,5
28,Forward quickly change,Eric Miller,Self-help,1999,3,3
29,Shake window,Richard Barnes,Science,1999,5,5
30,Company wind,Donald Williams,Biography,1989,2,2
31,Land,Kimberly Hunter,Biography,1952,10,10
32,Camera night born,Jim Davis,Fiction,1955,7,7
33,Manager west oil difference,George Hall,Fantasy,1995,9,9
34,Future free,Wesley Larson,History,1977,2,2
35,Card as,Angela Lopez,Fantasy,1994,6,6
36,Themselves difference clear,Julia Silva,Romance,1989,2,2
37,According could,Sarah Owen,Mystery,2016,8,8
38,Fill great cup moment,Ricky Nguyen,Fiction,1950,8,8
39,Sport alone,Andrew Hill,Fantasy,1958,1,1
40,Word officer,Thomas Nelson,Fantasy,1997,6,6
41,Likely concern quite,Brandon Figueroa,Fantasy,1986,5,5
42,Tend lead grow,Brandi Mcmillan,Science,2000,9,9
43,Tv forward democratic,Jason Craig,Fantasy,1986,1,1
44,Your position single,Amanda Whitaker,Fiction,1976,2,2
45,Choice once,Tina Wright,Self-help,2024,1,1
46,Major sport,Mark Kaufman,Fiction,2007,2,2
47,Morning such box,Kerry Cole,Romance,1971,2,2
48,Scene group director,Hannah Shah,Mystery,1981,10,10
49,Soon building here she,Jill Pittman,Science,2010,4,4
50,Ball,Sara Daniels,Biography,2011,8,8
51,Determine herself,Eric Bell,Fantasy,1968,9,9
52,Director expert,Katherine Silva,Biography,2015,2,2
53,Since system leader,Charles Allen,Mystery,1974,7,7
54,Strong social bit,Sarah Johnson,Science,2000,10,10
55,Meet American break,Deborah Nelson,Fiction,1989,9,9
56,Focus owner must,Joseph Vega,History,2012,4,4
57,Health,Kenneth Reese,History,2021,6,6
58,Lay into garden,Joy Franklin,Science,1950,8,8
59,Worker,Nathan Simmons,Romance,1952,7,7
60,Cost decade eight,Lee Bennett,Fantasy,1996,3,3
61,Difference crime,Robin Andersen,Romance,1972,9,9
62,Capital minute dark,Savannah Martinez,Fiction,1981,9,9
63,Animal,Zachary Bryant,Romance,1962,7,7
64,Sure five audience,Scott Kelly,Romance,1998,10,10
65,Not partner,Lawrence Harrison,Self-help,1959,8,8
66,Parent medical,Eric Booker,Biography,1953,6,6
67,Against travel,Richard Shields,Self-help,2022,10,10
68,Race decade I,Tracey Bradley,Fantasy,1994,6,6
69,Opportunity along,Nancy Lawrence,Biography,1988,9,9
70,Point fire ever,Justin Cobb,History,2019,2,2
71,Free natural,Anna Peterson,Science,1979,2,2
72,Team measure,Samantha Reed,Biography,1970,5,5
73,Song,Casey Johnson,Romance,1988,6,6
74,Ahead expect,Mark Berg,History,1992,4,4
75,Behind,Peter Dixon,Science,2011,2,2
76,Star if again,Danielle Franco,Mystery,2005,7,7
77,Bag boy,Stephanie Morgan,Romance,1989,5,5
78,Other career fact,Peter Peterson,Science,1999,3,3
79,After three today,Luke Smith,Fantasy,1956,9,9
80,Or worry,Cody Gross,Romance,1973,7,7
81,Us somebody,John Davis,Romance,2007,3,3
82,Policy consider,Bonnie Pierce,Biography,1950,6,6
83,It figure their,Jose Carter,Biography,2009,1,1
84,Sister section,Dana Tucker,Fiction,1953,1,1
85,Page avoid safe,Alisha Booker,Fiction,1956,10,10
86,Stock despite,James Cain,Self-help,1990,5,5
87,Program worry according president,William Wilson,Fiction,1994,1,1
88,Director southern concern,Steven Robinson,Science,2016,8,8
89,Kitchen customer,Briana Sellers,Fiction,2013,7,7
90,Another everything,George Martinez,Science,1986,4,4
91,Understand agreement,Kelli Goodwin,Mystery,1957,10,10
92,Rich energy call,Jessica Gill,Self-help,1992,1,1
93,Onto determine,Christian Wade,History,1994,7,7
94,Begin win employee,Morgan Reed,Romance,1966,3,3
95,Fact appear,Donna Rogers,Biography,1999,8,8
96,Last member,James Larson,Biography,1980,9,9
97,Statement many general,Laura Banks,Fantasy,1982,7,7
98,Operation federal,Raymond Ortiz,Biography,1952,3,3
99,Price wrong,Andrew Miller,Self-help,1986,7,7
100,Authority also,Robert Johnson,Mystery,1986,1,1
